begin_node,end_node_i,AADT
42519812,248607283,108834
42766934,42765242,8854
42421783,42454313,23702
42867023,42807554,13965
2028361256,2028328023,17573
42422592,42428072,12468
42486083,465132522,136343
370880758,42421946,14255
42422086,42443116,22824
42766931,42762533,8854
42427991,1733612459,26765
42421960,42445569,18139
593921859,42455761,4752
42421974,42443305,21107
42815805,42817412,11450
42767053,42755256,21391
42815834,42815829,3408
42815829,42815824,3408
103886354,440243635,104196
42815824,42815820,6297
42815820,42815816,6297
42815816,42815813,15711
42815813,42815810,15711
42815810,42815807,15711
42815807,42815805,11450
42422592,42422399,128817
42422585,42422592,128817
42422592,42422366,12468
42422592,42421778,12468
42815770,42815764,7888
103879237,103869667,104196
42815764,42815755,7888
42471183,42487567,8384
42422038,42438155,2212
42815755,42815750,13965
42815750,42815748,13965
1533280148,2779131562,5600
42421865,42443165,19753
42429705,1544809885,31013
42520827,42520825,6448
42422018,42438052,6981
42864880,42864879,1048
42422026,42437401,58373
42421852,42442584,11640
42421996,42438043,20038
42520579,42527647,5256
541999391,42481645,11676
42422018,42437058,6981
246894565,42429570,58373
42422000,42437052,19436
42469478,42537973,9378
42520409,42531870,9355
42422366,42425188,128817
42421806,42442475,19436
42421769,42443347,20038
42471048,42488527,2637
42866526,42811451,5489
42421820,42441569,6981
42471615,42470439,10954
541999541,42474811,35457
42471722,42467023,123631
42469879,42524122,4926
42422035,42434413,2212
42469876,42524119,4926
42421772,42442469,19436
42421993,42435312,16939
42421778,42441587,6981
42421852,42438928,11640
42436567,592484776,22156
42421969,42435250,16089
483605937,2408421325,15465
42421877,42437949,18753
42436793,1692433932,4397
593216034,371034141,17109
42421882,42436856,32423
42766989,42748414,6716
593921869,42443563,6166
42421820,42437312,6981
42422016,42431044,12573
42421993,42431447,16939
42421803,42437300,20038
42471046,42483561,11381
42422053,42429362,2212
371230604,589928187,96874
42471092,42481652,14015
42469633,42526329,3969
42421737,42437917,11640
42453604,1775270664,2797
593300772,42820840,44215
42422042,42428374,726
42767057,42742681,21391
42471265,42474786,27432
42421800,42435308,16939
42422056,42427249,2212
42421882,42432194,32423
42442559,1061531815,11640
593301234,42804992,10215
42470376,42501208,3995
42442549,1061531730,11640
42421972,42428570,2536
276069438,42920892,7015
42442534,1061531807,15903
42442542,1061531504,12573
1934650109,1044184577,85839
277385120,277385119,41124
42421728,42435337,16939
42442514,1061531790,19436
42521405,42490932,10954
42421960,42427953,18139
42421882,42430241,9124
42442492,1061531731,19436
482661024,276065908,10610
42442475,1061531839,19436
42442480,1061531603,19436
42421828,42430938,7953
42442469,1061531645,19436
42421810,42431034,12573
42421810,42431030,12573
42442463,1061531454,12468
42422086,42422168,3591
42442451,1061531634,5184
42421741,42432756,11640
42421857,42428863,19753
42421731,42432737,12145
42421728,42432736,16939
42421776,42431024,12573
42421776,42431019,12468
42433881,595703383,14470
42442422,1061531608,30107
42422056,42422053,3808
42422053,42422056,3808
42470437,42494930,2834
42422050,42422053,2212
593215564,371038821,26526
42470434,42494845,13460
42422042,42422050,11011
42421749,42431118,12573
42422038,42422042,16856
42422035,42422038,2212
293348991,301546019,84433
276209383,2433000860,123983
42422016,42422018,6981
42421783,42429174,23702
42520607,42511011,4533
42421996,42422000,19436
42421993,42421996,20038
42421982,42421978,966
42421978,42421982,966
42453080,595105496,20669
42421974,42421972,21107
42421972,42421969,30107
42421946,42421960,18139
42815107,42816214,10233
42433743,595703242,10346
2689614147,2089937977,6182
42814259,42842371,5349
42520740,42504256,116050
593921875,42430677,23833
42453011,595105531,20669
593921860,42430691,5881
593921856,42430685,6429
42449833,596776497,12575
42421800,42424851,16939
42521121,42491616,43519
42449833,596776442,12575
42767011,42733194,10891
42421877,42421882,9124
42866064,42807752,9093
42421865,42421857,19753
42421857,42421865,19753
277032734,42932829,11960
42421852,42421857,19753
1946814074,248709626,24630
42421820,42421810,6981
42421810,42421809,12573
42421809,42421806,21073
42435705,1815133244,30546
42421806,42421803,19436
42421778,42422592,12468
42421778,42421776,6981
42521808,42466517,9673
42421775,42421772,21073
42471130,42464570,48380
42421772,42421769,19436
42471136,42463651,132245
42421741,42421737,11640
42421737,42421741,11640
42421737,42421731,20038
103878596,103863438,84433
42421731,42421737,20038
42421731,42421728,16939
42421728,42421731,12145
42519812,42525712,42753
103878359,103869196,104119
276299310,2089938015,38415
370888100,370888101,3771
593920893,427804029,4902
42520393,42506177,9355
1775176474,42424098,30915
2481865390,42440804,25209
1834852948,248709733,24630
103881940,1112485522,84433
358448394,42435635,20693
60007353,295228005,104196
2481865390,42437580,37101
42469437,42508211,9378
42519809,42519202,12140
103877791,103879821,84433
1775270664,1919595924,30331
42520825,42486597,6448
42470387,42477228,3377
276299050,2089938080,6689
42520740,42488330,8020
42469614,42500046,12207
42469606,42500041,10652
42428212,449581627,10390
42470396,42474962,43519
42520698,42488270,9336
42433173,595703198,23354
42519640,42520559,9298
588593611,246909454,45854
358448394,42427817,4698
42470439,42470437,10954
42434951,561042193,39616
589100267,42458017,134223
42912774,42912776,21482
42520764,42481968,15374
42470385,42470382,1633
42909195,2402842572,1500
588718770,486819535,11453
42470382,42469633,12887
42911782,42941870,4857
589100164,42458034,134223
589100164,42458017,134223
103238622,103237100,2000
42469118,42506366,9355
103877797,103868764,104196
593915303,247081122,71530
589100711,42439191,3887
100662030,277481765,76952
42520607,42482473,4533
100662028,277481542,76952
60925728,595473421,6568
42521125,42466266,3377
42436060,1104165608,3799
486869939,486868138,7388
42449005,596776260,12575
277482363,277482105,4500
589100711,42437826,26333
277482339,277482363,3000
42444960,1533280148,5600
42862706,42885428,12494
42520729,42476485,16413
589100232,42451018,26333
358447541,42444933,7059
279603573,276209340,10038
42833276,597443929,18493
42469898,42477282,7097
106089178,106089864,115700
276298577,2089938041,38415
380059967,42497720,2513
588175753,42796436,10038
103877626,103868269,3000
277482205,277482097,156598
42519230,42519232,3011
42519223,42519230,1887
42519202,42519809,12140
42912776,42900647,21482
2387504625,1696727885,3500
42519232,42517465,3011
42519207,42517910,4909
42449597,2821304136,5132
42520559,42475325,5256
277482107,277482066,76952
277482105,277482107,4500
277482097,277482339,3000
561042194,42449683,13727
61271527,1825732607,104119
561042193,42449683,13727
42519250,42514188,1399
42469214,42492412,31811
42520686,42469492,9378
205026279,278609760,14255
561042188,42449308,39616
42519258,42513498,2139
588593353,246899801,4347
42764835,42764839,17526
42764819,42764829,16467
42468747,42505383,5112
42764829,42763894,16467
561042204,42446959,25566
588593097,42433718,45854
561042197,42446949,7928
561042194,42446945,13727
561042193,42446941,10253
2141026551,42439878,23354
42861204,42920889,6303
2141026540,42439891,23354
2141026538,42439860,23354
2141026538,42439858,23354
42519238,42511349,1065
276203987,276204366,7015
276203987,276204325,7015
