begin_node,end_node_i,Other_Volume
60007332,1381944089,655621
1044184576,60007332,655621
1381944089,60810564,529682
42828372,42842324,470429
60810757,60810758,453741
60810747,60810757,453740
60810564,60810686,442010
60810686,60810747,438848
103215727,103213791,421751
103215737,103215727,365129
371212085,42433376,343254
598228039,598228143,336840
103868813,103868815,335325
103149542,103230928,333728
589929417,42433408,331035
103230928,103245965,330227
103143813,103174576,322629
103245965,103143813,321737
103174599,103174601,311164
103174576,103174578,299671
103174578,103174579,298694
103174579,103174581,294650
42483410,42478107,292813
589100232,589100267,292109
103174581,103174583,287696
42442728,595484175,285965
2408421259,476241567,282524
42897727,42905218,281430
42527617,1372888841,278797
103174601,103096338,272145
42465660,598291052,265279
42445392,406048768,261279
42424133,42427009,259366
595314111,61257626,259326
103174583,103174585,257382
587812578,587812665,254734
42433408,589929417,253155
482611472,481250022,251801
42478289,42478187,250049
482611472,476241497,248583
587812665,595314111,247904
276067533,42899921,246466
42476753,42478289,245030
106089864,42797312,243165
451052015,451051793,242223
449617997,451052015,238952
42478307,598291114,238921
42497724,42497721,238763
597328332,597328336,235305
42858980,42858987,232619
598291114,598290954,232165
597324662,597324661,231845
597324663,597328332,231583
597324661,597324663,231253
42478197,42478307,230098
42478187,42478191,229902
597324677,597324662,229362
597328336,42901476,227904
486819535,486819536,227853
483584559,2408421138,227418
106089178,106089864,227015
42797312,106090514,226772
277030122,277029610,224930
171245253,1044184576,224043
42424218,247123611,222186
598290954,42465660,220518
103868809,103868813,219467
103154240,103174599,218503
276059544,2802726395,216017
451018391,451074820,215109
2408421303,482608660,215067
2408421436,481404934,214002
42423170,42423189,212407
42446386,42424218,206639
371239958,42425681,206260
451074820,451074830,205485
42826008,42826016,203968
405984035,42450656,203688
42463398,42527617,203454
42448423,42424767,201465
42465857,42463398,201167
42457925,42457940,200475
42450656,370924677,199003
103201208,103207071,196844
42802987,597324677,196553
1112485531,1112485711,196247
1538237503,2821304146,195687
42437841,42438825,194794
451028274,588785542,194792
106710490,106706938,193692
476025020,476025435,193554
595464558,60918687,192456
42425246,42450634,192334
2408421292,482611472,189718
42528600,559865278,189478
593839894,42430651,189389
103207060,103207063,188860
103207063,103201208,188859
42458435,587812578,188622
589100267,42458017,188433
42430707,61275601,188192
103880175,103863130,188060
598202924,449617997,186891
595473295,595473291,186224
42450688,42432548,185776
106133540,106090514,185442
2089938146,42423579,185374
42458017,589100267,185240
61275601,42446386,185173
103880448,103880446,183977
479715801,598043899,183180
103162788,103207043,182930
100662028,100662030,182650
42443570,42430680,181452
481404934,599275159,181134
277386523,42802987,180878
1258875449,588718770,180429
2447553689,100661124,180225
598043797,479715943,180096
482655346,482652239,179591
106074504,42795971,179459
42860019,106074992,179009
42433064,42433062,178441
42433490,42427024,178289
595254573,247123651,177887
103194948,103207060,177423
103207043,103207045,176756
103207045,103194948,176721
103873764,103873766,176679
2349997561,103873764,176679
42866502,42866500,175779
42823482,42852807,175569
42448329,42424672,175475
247085079,593839894,175361
595254573,595254571,174366
106090514,106138663,173673
42450645,405984035,173658
589298625,42450645,173610
42808162,42808170,173501
278609934,587988061,173362
61273001,247123611,172447
103098504,114662167,171002
103873766,103873768,170516
595314118,42458435,170010
103867974,103868809,169736
103870467,103864243,169164
42424218,42446386,168748
595254571,595254573,168593
1672106382,595254571,168442
406006377,589298625,168168
103174595,103154240,168004
371034158,1775176474,167957
103861215,103869228,167677
42430651,593839894,167185
42440253,61275601,166911
476241567,276059532,166475
451020319,451018391,165513
103118057,103162788,165505
1112485544,103880448,165017
599270650,599270651,164862
296933818,2349997561,164850
589099881,370915060,164486
103133187,103118057,164479
62915531,42443549,164347
595245920,1672106382,164343
589100164,42458017,164154
247123611,42424218,163839
103868781,103870309,163383
42446386,61275601,162726
42448326,42455119,162275
451074830,598054698,161956
103162254,103245949,161450
42438825,42438304,161282
42499996,42472268,161156
595245925,1672106382,160969
479717820,588191840,160683
1825732607,61272996,159985
479715943,479717820,159075
370913767,370913758,158825
62915536,42440253,158351
42422399,595314118,158179
61272996,61273001,158166
60918687,171245253,157773
1692483438,486872598,157697
106138663,42905218,156734
103873768,103881214,156727
750332275,427841011,156392
42817491,276209383,156110
103869228,103885416,155537
61271527,1825732607,155436
42450820,42423295,154515
42465893,42465899,153519
246650510,42427828,153292
42465871,42465874,153020
42457940,42445392,152826
42527617,598300223,152242
1369722086,371225132,151052
42465899,42465906,151050
1324496738,598202924,150611
103864413,103884180,150588
301546018,301546017,149683
482652239,482655346,149616
103870309,103870311,149121
103207079,103162254,149043
598308332,42465728,148632
103878359,103869196,148439
61272887,247124101,148338
587988061,278609934,148021
42465874,42465878,147747
103884180,103878359,147412
588114597,42752942,147386
598300223,42465871,147310
247085079,247081122,146890
42733678,595801192,146879
595254571,1672106382,146488
588036488,479715801,146073
42752942,588114612,145741
2433000860,2433000853,145538
106074504,106135362,145506
103869196,103855253,144987
103882035,103867974,144729
106135362,597443992,144306
42467023,42469612,144217
103886410,103864413,143833
449616617,1324496738,143758
103855253,103867983,142610
301546017,1293095295,142139
301546019,301546018,141926
103867983,103880616,141609
106074992,276235958,141275
42427828,247074607,140805
42465728,42465893,140026
596271291,471243699,139941
103878112,2735660226,139612
293351273,103878112,139612
2735660234,103869105,139401
103870325,103856530,139334
42428086,42433064,139247
103869105,103870325,139196
2735660226,2735660234,139145
2148166693,42471722,138983
103870311,293351273,138938
42425162,61271527,138350
42433062,42433060,137998
42471722,42467023,137949
103872293,103886410,137750
103207071,103207075,136942
61269797,42423070,136783
42430691,62915531,135976
103880448,296933818,135876
42465878,42465881,135467
1112485522,1112485544,134814
103864941,103872293,134806
2433000853,106074504,134540
42427340,42427345,134183
42426011,371230604,134020
371230604,589928187,133414
42443549,62915536,132788
42478283,598227919,132777
42442918,42455915,131869
42437845,42437841,131524
100662035,471244797,131336
42436316,42436313,130368
589928187,371321235,130315
42433644,42423885,129834
103207075,103150196,129256
42429812,42435544,128093
1112485711,103861407,127813
103859189,2881922068,127056
598054698,451023026,127019
276209383,2433000860,126441
103858840,103869216,124029
42422592,42422399,123895
