

Original Link:

Link [init=1, term=2, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=1, term=3, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=2, term=1, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=2, term=6, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=3, term=1, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=3, term=4, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=3, term=12, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=4, term=3, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=4, term=5, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=4, term=11, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=5, term=4, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=5, term=6, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=5, term=9, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=6, term=2, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=6, term=5, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=6, term=8, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=7, term=8, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=7, term=18, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=8, term=6, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=8, term=7, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=8, term=9, flow=0.0, travelTime=10.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=8, term=16, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=9, term=5, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=9, term=8, flow=0.0, travelTime=10.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=9, term=10, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=10, term=9, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=10, term=11, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=10, term=15, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=10, term=16, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=10, term=17, flow=0.0, travelTime=8.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=11, term=4, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=11, term=10, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=11, term=12, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=11, term=14, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=12, term=3, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=12, term=11, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=12, term=13, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=13, term=12, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=13, term=24, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=14, term=11, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=14, term=15, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=14, term=23, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=15, term=10, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=15, term=14, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=15, term=19, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=15, term=22, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=16, term=8, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=16, term=10, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=16, term=17, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=16, term=18, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=17, term=10, flow=0.0, travelTime=8.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=17, term=16, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=17, term=19, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=18, term=7, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=18, term=16, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=18, term=20, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=19, term=15, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=19, term=17, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=19, term=20, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=20, term=18, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=20, term=19, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=20, term=21, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=20, term=22, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=21, term=20, flow=0.0, travelTime=6.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=21, term=22, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=21, term=24, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=22, term=15, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=22, term=20, flow=0.0, travelTime=5.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=22, term=21, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=22, term=23, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=23, term=14, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=23, term=22, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=23, term=24, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=24, term=13, flow=0.0, travelTime=4.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=24, term=21, flow=0.0, travelTime=3.0, surcharge=0.0, lastSurcharge=0.0]

Link [init=24, term=23, flow=0.0, travelTime=2.0, surcharge=0.0, lastSurcharge=0.0]



Original Trip

ODPair [origin=1, destination=1, demand=0.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=2, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=3, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=4, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=5, demand=200.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=6, demand=300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=7, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=8, demand=800.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=9, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=10, demand=1300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=11, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=12, demand=200.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=13, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=14, demand=300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=15, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=16, demand=500.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=17, demand=400.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=18, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=19, demand=300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=20, demand=300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=21, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=22, demand=400.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=23, demand=300.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=1, destination=24, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=2, destination=1, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=2, destination=2, demand=0.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=2, destination=3, demand=100.0, originCost=0.0, cost=0.0, increPercentage=0.0]
ODPair [origin=2, destination=4, demand=200.0, originCost=0.0, cost=0.0, increPercentage=0.0]
